id	category	canonical	意味	ae	pr	dr	cc	freq	entries(menu:shortcut:panel:pref)	quality	scope	verdict	理由
31	audio	Export Master	マスターをエクスポート	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(マスターバスのExport/Import)
32	audio	Fairlight Viewer	Fairlightビューア	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight Viewerは専用音声スイートページそのもの。領域外
33	audio	Flatten Audio Track Layers	音声トラックレイヤーを統合	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	レイヤー音声編集(1クリップ内の複数音声レイヤー)は将来の拡張として妥当。除外根拠なし
34	audio	Import Master	マスターをインポート	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(マスターバスのExport/Import)
35	audio	Increase Audio Track Height	オーディオトラック高を拡大	0	1	0	0	1	0:1:0:0	二次(premiere全体注記)		採用予定	音声トラック高の増減はTimeline行の表示調整(標準機能)
36	audio	Increase Audio Tracks Height	音声トラック高拡大	0	1	0	0	1	0:1:0:0	二次(premiere全体注記)		採用予定	音声トラック高の増減はTimeline行の表示調整(標準機能)
37	audio	Input Monitor Style	入力モニタースタイル	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(入力モニタールーティング)
38	audio	Layered Audio Editing	レイヤー音声編集	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	レイヤー音声編集(1クリップ内の複数音声レイヤー)は将来の拡張として妥当。除外根拠なし
39	audio	Link Group	リンクグループ	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(チャンネルリンクグループ)
40	audio	Lock/Unlock All Audio Tracks	Option+Shift+F9	0	0	1	0	1	0:1:0:0	公式(BMD, v11時点)		採用予定	音声トラックのロック/アンロックはGOALS標準「行の...lock」の音声版
41	audio	Lock/Unlock Audio Track A1-A8(grouped, pattern)	Option+Shift+F1..Option+Shift+F8	0	0	1	0	1	0:1:0:0	公式(BMD, v11時点)		採用予定	音声トラックのロック/アンロックはGOALS標準「行の...lock」の音声版
42	audio	Loudness normalisation	音量正規化	0	0	0	1	1	1:0:0:0	公式		採用予定	ラウドネス正規化(LUFS)は現代の普通の動画ソフトが備える標準機能(CapCut等)
43	audio	Manually preview audio	オーディオを手動プレビュー	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	手動プレビューは基本操作
44	audio	Mark Audio In	音声イン点設定	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	音声in/out点設定は作業域指定
45	audio	Mark Audio Out	音声アウト点設定	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	音声in/out点設定は作業域指定
46	audio	Monitoring	モニタリング	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(モニターセクション)
47	audio	Music	音楽ライブラリから追加	0	0	0	1	1	1:0:0:0	公式		採用予定	音楽ライブラリ追加はBrowserパネルからの素材追加(将来の外部/内蔵ライブラリ接続)
48	audio	Open or close Audio panel	Audioパネル開閉	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	同期音声ファイル名オーバーレイは表示補助機能
49	audio	Overlay Synced Audio File Names	同期音声ファイル名オーバーレイ	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(入出力パッチベイ)
50	audio	Patch Input/Output	入出力パッチ	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(トラック出力先/バスアサイン/フォーマット/VCA/パッチ)
51	audio	Play Again	再度再生	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	再度再生は基本プレビュー操作
52	audio	Presets Library	プリセットライブラリ	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	FairlightプリセットライブラリはVSTライクなplugin chain前提。GOALS「VST互換」除外と抵触
53	audio	Preview only audio from current time	現在時刻からオーディオのみプレビュー	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	範囲限定音声プレビュー
54	audio	Preview only audio in work area	ワークエリアのオーディオのみプレビュー	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	範囲限定音声プレビュー
55	audio	Remote Control Settings	リモートコントロール設定	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	物理コンソール/リモート制御surfaceはMotoliiに該当ハードウェアなし
56	audio	Renderer Settings	レンダラー設定	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(音声エンジン内部レンダラ設定)
57	audio	Select Nearest Audio Edit Point	最寄り音声編集点を選択	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	最寄り編集点選択は一般的なナビゲーション
58	audio	Show Audio Track Layers	音声トラックレイヤー表示	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	音声トラックレイヤー表示
59	audio	Show Clip Gain Line	クリップゲインライン表示	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	採用予定	クリップゲインラインはPremiere等にもある一般的なクリップ音量ラバーバンド表示(コンソール/バス機構は不要)
60	audio	Slip Audio	音声スリップ	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		不採用	Slip はtrim family(2026-08-19裁定・timeline-grammar拘束1で不採用)の一員
61	audio	Slip Audio One Frame Forward	Option+.	0	0	1	0	1	0:1:0:0	公式(BMD, v11時点)		不採用	Slip はtrim family(2026-08-19裁定・timeline-grammar拘束1で不採用)の一員
62	audio	Slip Audio One Frame Reverse	Option+,	0	0	1	0	1	0:1:0:0	公式(BMD, v11時点)		不採用	Slip はtrim family(2026-08-19裁定・timeline-grammar拘束1で不採用)の一員
63	audio	Sound effects	効果音追加	0	0	0	1	1	1:0:0:0	公式		採用予定	効果音ライブラリ追加はBrowserパネルからの素材追加
64	audio	Space View Scope	空間ビュースコープ	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	空間ビュースコープはDolby Atmos等イマーシブ音声規格向け。HDR/Dolby Vision同様に領域外
65	audio	Synchronize > Audio Channels	音声チャンネルで同期	0	1	0	0	1	1:0:0:0	二次(premiere全体注記)		採用予定	音声波形ベースのクリップ同期(マルチカム同期含む)は一般的な編集機能
66	audio	Test Tones Settings	テストトーン設定	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	テストトーン生成は放送QC専用機能。領域外
67	audio	Trim Audio Edits to Frame Boundaries	音声編集点をフレーム境界にトリム	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	音声編集点のフレーム境界トリムは基本編集精度機能
68	audio	VCA Assign	VCAアサイン	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	不採用	Fairlight相当のマルチバス/コンソール/ハードウェア制御surface(裁定125: 音声はowns~950行のミニマム構成=mix/program/MixProducerのみで、バス/VCA/パッチベイ等のコンソール型アーキテクチャは意図的に持たない)(トラック出力先/バスアサイン/フォーマット/VCA/パッチ)
69	audio	View Clip Info Display	クリップ情報表示	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	採用予定	クリップ情報表示は単純なメタデータ表示UI(コンソール機構不要)
70	audio	Vocal isolation	ボーカル分離	0	0	0	1	1	1:0:0:0	公式		採用予定	ボーカル分離は既存音声の解析的音源分離(Bake/Analysis provider経路)であり新規素材生成ではない
71	audio	Voice Cloning	音声クローン(AI)	0	0	0	1	1	1:0:0:0	公式		不採用	Voice Cloningは既存音声の変換ではなく新規音声素材のゼロからの生成。Motoliiが持たない素材制作機能(docs/generative-user-boundary.md §2)。外部ツールで生成しExternal経路(通常のメディア取込)で持ち込む
72	audio	Voice filters	ボイスフィルター適用	0	0	0	1	1	1:0:0:0	公式		採用予定	ボイスフィルターは決定的な音声エフェクト(ピッチ/フォルマント変換)。Filter経路
73	audio	Voiceover	ナレーション録音	0	0	0	1	1	1:0:0:0	公式		採用予定	ナレーション録音(マイク入力)は普通の動画ソフトが備える標準機能
74	audio	Zoom Audio Waveform	音声波形ズーム	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	波形ズームは表示操作
75	blend_mode	Add	加算	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用済	BL2(blend Add縦一本)で着地 — store BlendMode::Add + engine translate_blend_mode + Inspector 巡回ボタン(Normal/Add)で到達
76	blend_mode	Alpha Add	アルファ加算	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
77	blend_mode	Classic Difference	差(クラシック)	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
78	blend_mode	Cycle through blending modes	ブレンドモードを巡回	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	
79	blend_mode	Dancing Dissolve	ダンシングディゾルブ	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
80	blend_mode	Darken	比較(暗)	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
81	blend_mode	Difference	差	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
82	blend_mode	Dissolve	ディゾルブ	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
83	blend_mode	Divide	除算	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
84	blend_mode	Exclusion	除外	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
85	blend_mode	Hard Light	ハードライト	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
86	blend_mode	Hard Mix	ハードミックス	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
87	blend_mode	Hue	色相	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
88	blend_mode	Lighten	比較(明)	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
89	blend_mode	Linear Burn	焼き込み(リニア)	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
90	blend_mode	Linear Dodge	覆い焼き(リニア)	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
91	blend_mode	Linear Light	リニアライト	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
92	blend_mode	Luminescent Premul	光有りプリマル	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
93	blend_mode	Luminosity	輝度	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
94	blend_mode	Multiply	乗算	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
95	blend_mode	Next Blending Mode	次のブレンドモードへ	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
96	blend_mode	Normal	通常	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用済	motolii-compositor::BlendMode::Normal(engine translate_blend_mode)
97	blend_mode	Overlay	オーバーレイ	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
98	blend_mode	Pin Light	ピンライト	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
99	blend_mode	Saturation	彩度	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
100	blend_mode	Screen	スクリーン	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
101	blend_mode	Silhouette Alpha	シルエットアルファ	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
102	blend_mode	Silhouette Luma	シルエット輝度	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
103	blend_mode	Soft Light	ソフトライト	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
104	blend_mode	Stencil Alpha	ステンシルアルファ	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
105	blend_mode	Stencil Luma	ステンシル輝度	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
106	blend_mode	Subtract	減算	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
107	blend_mode	Vivid Light	ビビッドライト	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	
108	camera_3d	3D Layer	3Dレイヤー化	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用済	layerごとのz座標(position.z track)実装済み(裁定116)。2D/3Dのモード切替自体を作らない設計(裁定113)のため、3D化トグルは不要で既に全層が対応
109	camera_3d	Activate and cycle Camera tools	カメラツールを巡回	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
110	camera_3d	Active Camera	アクティブカメラ視点	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用済	Composition.camera を通した描画がそのままActive Camera視点(next/engine, 裁定116)
111	camera_3d	Back	背面視点	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
112	camera_3d	Bottom	下視点	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
113	camera_3d	Camera…	新規カメラレイヤー	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
114	camera_3d	Create Orbit Null	オービットヌル作成	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)	out-of-domain?	不採用	Orbit Null作成は3D DCCのリグ補助機構。generative-user-boundary.md「Blender相当の...rig」除外に該当
115	camera_3d	Create Stereo 3D Rig	ステレオ3Dリグ作成	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)	out-of-domain?	不採用	ステレオ3Dリグは映画級VFX機能。領域外
116	camera_3d	Custom View 1	カスタム視点1	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
117	camera_3d	Custom View 2	カスタム視点2	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
118	camera_3d	Custom View 3	カスタム視点3	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
119	camera_3d	Front	正面視点	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
120	camera_3d	Left	左視点	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
121	camera_3d	Link Focus Distance to Layer	レイヤーにフォーカス距離をリンク	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)	out-of-domain?	不採用	フォーカス距離のレイヤー/注視点リンクはDOFリグ機能で、裁定115「カメラの向きは固定軸のまま」と衝突(注視点=向きの表現を要求するが未定義)
122	camera_3d	Link Focus Distance to Point of Interest	注視点にフォーカス距離をリンク	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)	out-of-domain?	不採用	フォーカス距離のレイヤー/注視点リンクはDOFリグ機能で、裁定115「カメラの向きは固定軸のまま」と衝突(注視点=向きの表現を要求するが未定義)
123	camera_3d	Maximize/Restore Frame	フレームの最大化/復帰	0	1	0	0	1	0:1:0:0	二次(premiere全体注記)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
124	camera_3d	Move camera to look at selected 3D layers	選択3Dレイヤーを見るようカメラ移動	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
125	camera_3d	New camera	新規カメラ	1	0	0	0	1	0:1:0:0	公式(Adobe)		不採用	New cameraは追加カメラの作成を意味するが、裁定113「世界1つ・カメラ1つ」に反する(カメラレイヤー/複数カメラを持たない)
126	camera_3d	New light	新規ライト	1	0	0	0	1	0:1:0:0	公式(Adobe)		不採用	ライト/シャドウは3D DCC相当の照明・シェーディングパイプライン。generative-user-boundary.md「Blender相当の...重い物理制作環境」除外に該当。Motoliiに照明モデルの決定なし
127	camera_3d	Record Multi-Camera	マルチカメラ収録(ライブ切替)	0	1	0	0	1	0:1:0:0	二次(premiere全体注記)		不採用	マルチカメラ同時収録はライブ制作(キャプチャ)機能であり、Motoliiは取込済み素材を編集する合成ツール(generative-user-boundary.md §1)。領域外
128	camera_3d	Reset 3D View	3Dビューをリセット	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
129	camera_3d	Return to previous view	直前のビューへ戻る	1	0	0	0	1	0:1:0:0	公式(Adobe)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
130	camera_3d	Right	右視点	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	観測カメラ(裁定157: Shell直下のview専用フィールド)/ギズモ(裁定114/124: 第1波は静止描画のみ)は設計方針決定済みだが未着地。個別のビュー切替・ツール・ギズモ対話UIは未実装
